OID_,Site_1,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,SUM,Population,OBJECTID,Id,gridcode,Site,OBJECTID_1,FID_Yukon_spawning_sites,Site_12,Latitude,Longitude,FID_YRC_CU,OBJECTID_12,WATERSHED_,SUB_SUB_DR,MAJOR_DRAI,MAJOR_DR_1,SUB_DRAINA,SUB_DRAI_1,SUB_SUB__1,SUB_SUB__2,GEOMETRY_A,GEOMETRY_L,Shape_Leng,Shape_Length,Shape_Area,Drainage_area,Mean_elev,Isolated,Sporadic,Extensive_disc,Continuous,Prod_level
422,BigKalzasR,30,1984.000000000000000,1984.000000000000000,swe,StdTime,1989-04-01 12:00:00,249969.630081176786916,Pelly,30,53,44,BigKalzasR,73,44,BigKalzasR,62.892280000000000,-135.485000000000014,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,337643.567187811248004,1901553419.841022729873657,1901553419.841022729873657,1050.344939511910070,0.000000000000000,41280300.000000000000000,1805990400.000000000000000,54275400.000000000000000,minor
423,MooseR,31,1144.000000000000000,1144.000000000000000,swe,StdTime,1989-04-01 12:00:00,123684.219932556108688,Pelly,31,55,55,MooseR,74,55,MooseR,62.991849999999999,-134.731030000000004,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,265400.040938744146843,1093811604.392079114913940,1093811604.392079114913940,976.945710266749984,0.000000000000000,6669900.000000000000000,1086943500.000000000000000,212400.000000000000000,minor
424,OllieCr,32,1324.000000000000000,1324.000000000000000,swe,StdTime,1989-04-01 12:00:00,252526.220130920613883,Stewart,32,56,14,OllieCr,79,14,OllieCr,63.306179999999998,-131.286180000000002,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,254023.283903897012351,1269012285.215501308441162,1269012285.215501308441162,1319.872053918189977,0.000000000000000,0.000000000000000,1262979000.000000000000000,6029100.000000000000000,minor
425,RossR,33,7506.000000000000000,7506.000000000000000,swe,StdTime,1989-04-01 12:00:00,1247001.669860837748274,Pelly,33,63,61,RossR,46,61,RossR,61.985819999999997,-132.418509999999998,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,847472.582759606768377,7254710601.478563308715820,7254710601.478563308715820,1111.321057646109921,0.000000000000000,0.000000000000000,7240397400.000000000000000,14316300.000000000000000,major
426,SMacmillanR,34,5756.000000000000000,5756.000000000000000,swe,StdTime,1989-04-01 12:00:00,877544.939887998858467,Pelly,34,71,63,SMacmillanR,75,63,SMacmillanR,63.029769999999999,-133.287059999999997,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,830633.815171816968359,5530265243.537662506103516,5530265243.537662506103516,1178.449957251450087,0.000000000000000,0.000000000000000,5498982000.000000000000000,31219200.000000000000000,major
427,NMacmillanR,35,2988.000000000000000,2988.000000000000000,swe,StdTime,1989-04-01 12:00:00,423654.100288390531205,Pelly,35,91,56,NMacmillanR,77,56,NMacmillanR,63.043920000000000,-133.277130000000000,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,411517.589436162728816,2861164537.926766872406006,2861164537.926766872406006,1188.216999339600079,0.000000000000000,0.000000000000000,2859557400.000000000000000,1632600.000000000000000,minor
428,TayR,36,3885.000000000000000,3885.000000000000000,swe,StdTime,1989-04-01 12:00:00,514287.970046996779274,Pelly,36,97,64,TayR,61,64,TayR,62.568230000000000,-134.354389999999995,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,605014.567088706535287,3757421835.552163124084473,3757421835.552163124084473,1176.261536659719923,198000.000000000000000,0.000000000000000,3756420900.000000000000000,792900.000000000000000,minor
429,PrevostR,37,1311.000000000000000,1311.000000000000000,swe,StdTime,1989-04-01 12:00:00,245304.740005493338685,Pelly,37,113,59,PrevostR,62,59,PrevostR,62.603230000000003,-131.170809999999989,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,315236.872280705312733,1263163793.222994327545166,1263163793.222994327545166,1189.697305351590103,0.000000000000000,0.000000000000000,1262421000.000000000000000,810000.000000000000000,minor
430,RiddellR,38,1531.000000000000000,1531.000000000000000,swe,StdTime,1989-04-01 12:00:00,210921.749885559052927,Pelly,38,117,60,RiddellR,70,60,RiddellR,62.844029999999997,-132.421220000000005,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,309505.952235208533239,1477321155.115741729736328,1477321155.115741729736328,1139.563965593270041,0.000000000000000,0.000000000000000,1477062900.000000000000000,223200.000000000000000,minor
431,GlenlyonR,39,672.000000000000000,672.000000000000000,swe,StdTime,1989-04-01 12:00:00,90176.619941711396677,Pelly,39,132,47,GlenlyonR,59,47,GlenlyonR,62.482799999999997,-134.163569999999993,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,178788.056693041726248,652955332.719030618667603,652955332.719030618667603,1268.695695395180110,0.000000000000000,0.000000000000000,649030500.000000000000000,3930300.000000000000000,minor
432,DruryCr,40,615.000000000000000,615.000000000000000,swe,StdTime,1989-04-01 12:00:00,74878.450065612822073,Carmacks,40,133,24,DruryCr,54,24,DruryCr,62.196129999999997,-134.387609999999995,7,0,0, , , ,Carmacks, , , ,0.000000000000000,0.000000000000000,0.000000000000000,163911.741743390652118,596275490.787202835083008,596275490.787202835083008,1223.176778251709948,0.000000000000000,5400.000000000000000,594271800.000000000000000,1999800.000000000000000,minor
433,BigCr,41,1901.000000000000000,1901.000000000000000,swe,StdTime,1989-04-01 12:00:00,241580.460052490263479,Middle Mainstem,41,136,22,BigCr,63,22,BigCr,62.616059999999997,-136.993509999999986,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402.329999923706055,457456.671924999973271,457456.671924999973271,279665.403159108944237,1846733994.060187101364136,1846733994.060187101364136,1056.984833909210010,0.000000000000000,0.000000000000000,1793158200.000000000000000,53539200.000000000000000,minor
434,TummelR,42,752.000000000000000,752.000000000000000,swe,StdTime,1989-04-01 12:00:00,76890.719985961870407,Pelly,42,141,65,TummelR,65,65,TummelR,62.756630000000001,-135.064019999999999,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,199468.667469544539927,727344099.812384009361267,727344099.812384009361267,1058.611679107099917,0.000000000000000,17100.000000000000000,725770800.000000000000000,1547100.000000000000000,minor
435,UPellyR,43,11491.000000000000000,11491.000000000000000,swe,StdTime,1989-04-01 12:00:00,2204239.000152588356286,Pelly,43,145,66,UPellyR,45,66,UPellyR,61.980229999999999,-132.413119999999992,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,1017186.509254799806513,11194287158.638072967529297,11194287158.638072967529297,1201.595123720730044,0.000000000000000,0.000000000000000,11117978100.000000000000000,76257000.000000000000000,minor
436,WoodsideCr,44,1433.000000000000000,1433.000000000000000,swe,StdTime,1989-04-01 12:00:00,306759.389862060430460,Pelly,44,161,67,WoodsideCr,48,67,WoodsideCr,62.034619999999997,-130.558490000000006,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,280685.511160177760758,1394786008.306702852249146,1394786008.306702852249146,1232.284837431710002,0.000000000000000,0.000000000000000,1391978700.000000000000000,2826900.000000000000000,minor
437,WalshCr,45,560.000000000000000,560.000000000000000,swe,StdTime,1989-04-01 12:00:00,64275.409980773882126,Carmacks,45,170,41,WalshCr,44,41,WalshCr,61.920009999999998,-134.941489999999988,7,0,0, , , ,Carmacks, , , ,0.000000000000000,0.000000000000000,0.000000000000000,160535.634413267369382,542140360.134344339370728,542140360.134344339370728,1022.997405153480031,0.000000000000000,9642600.000000000000000,532466100.000000000000000,18900.000000000000000,minor
438,IncisedCr,46,1435.000000000000000,1435.000000000000000,swe,StdTime,1989-04-01 12:00:00,174953.100028991670115,Middle Mainstem,46,177,25,IncisedCr,49,25,IncisedCr,62.043349999999997,-136.279310000000009,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402.329999923706055,457456.671924999973271,457456.671924999973271,313224.355338979861699,1389143505.825288295745850,1389143505.825288295745850,1111.072638505399937,0.000000000000000,910800.000000000000000,1382002200.000000000000000,6275700.000000000000000,minor
439,KirklandCr,47,1247.000000000000000,1247.000000000000000,swe,StdTime,1989-04-01 12:00:00,158807.009849548310740,Middle Mainstem,47,206,26,KirklandCr,36,26,KirklandCr,61.744050000000001,-136.040989999999994,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402.329999923706055,457456.671924999973271,457456.671924999973271,288133.658074981241953,1227023226.411679506301880,1227023226.411679506301880,1197.912811399729890,0.000000000000000,45454500.000000000000000,1149522300.000000000000000,32048100.000000000000000,minor
440,BigCampbellCr,48,1011.000000000000000,1011.000000000000000,swe,StdTime,1989-04-01 12:00:00,206009.589935302326921,Pelly,48,216,43,BigCampbellCr,39,43,BigCampbellCr,61.772720000000000,-131.128780000000006,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,245830.581922669691266,994366921.586977839469910,994366921.586977839469910,1252.786217879980086,0.000000000000000,0.000000000000000,972026100.000000000000000,22357800.000000000000000,minor
441,BigSalmonR,49,7232.000000000000000,7232.000000000000000,swe,StdTime,1989-04-01 12:00:00,965062.539604185963981,Carmacks,49,219,23,BigSalmonR,42,23,BigSalmonR,61.880110000000002,-134.920839999999998,7,0,0, , , ,Carmacks, , , ,0.000000000000000,0.000000000000000,0.000000000000000,568467.582729665329680,7085648368.264714241027832,7085648368.264714241027832,1260.756833818740006,0.000000000000000,997351200.000000000000000,5569942500.000000000000000,518368500.000000000000000,major
442,MinkR,50,496.000000000000000,496.000000000000000,swe,StdTime,1989-04-01 12:00:00,88016.500091552763479,Pelly,50,221,54,MinkR,34,54,MinkR,61.731670000000001,-131.335990000000010,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,123490.950860891360207,482232537.884594261646271,482232537.884594261646271,1173.973037542609973,0.000000000000000,0.000000000000000,482221800.000000000000000,31500.000000000000000,minor
443,NorthernCr,51,294.000000000000000,294.000000000000000,swe,StdTime,1989-04-01 12:00:00,42358.389907836906787,Carmacks,51,222,35,NorthernCr,40,35,NorthernCr,61.847189999999998,-133.975809999999996,7,0,0, , , ,Carmacks, , , ,0.000000000000000,0.000000000000000,0.000000000000000,90826.235153471468948,283658249.317069768905640,283658249.317069768905640,1427.578298287130110,0.000000000000000,0.000000000000000,278275500.000000000000000,5378400.000000000000000,minor
444,NordenskioldR,52,6617.000000000000000,6617.000000000000000,swe,StdTime,1989-04-01 12:00:00,798405.190063475980423,Middle Mainstem,52,237,34,NordenskioldR,51,34,NordenskioldR,62.102139999999999,-136.301230000000004,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402.329999923706055,457456.671924999973271,457456.671924999973271,660877.605719790677540,6492805958.814288139343262,6492805958.814288139343262,1058.606564357120078,0.000000000000000,1719315000.000000000000000,4678524000.000000000000000,95063400.000000000000000,minor
445,UNisutlinR,53,3434.000000000000000,3434.000000000000000,swe,StdTime,1989-04-01 12:00:00,607491.780258178827353,Teslin,53,240,95,UNisutlinR,27,95,UNisutlinR,61.174900000000001,-132.964550000000003,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,408957.037394414190203,3375665266.231499195098877,3375665266.231499195098877,1328.081689688030110,0.000000000000000,586118700.000000000000000,2695862700.000000000000000,93643200.000000000000000,major
446,HooleR,54,1105.000000000000000,1105.000000000000000,swe,StdTime,1989-04-01 12:00:00,212304.210159301670501,Pelly,54,255,48,HooleR,37,48,HooleR,61.748989999999999,-131.710610000000003,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,239296.660370913508814,1087305631.147433042526245,1087305631.147433042526245,1338.848592268979928,0.000000000000000,0.000000000000000,1053851400.000000000000000,33461100.000000000000000,minor
447,RoseR,55,978.000000000000000,978.000000000000000,swe,StdTime,1989-04-01 12:00:00,158893.840126037743175,Teslin,55,263,87,RoseR,28,87,RoseR,61.181469999999997,-132.982010000000002,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,216388.487116870499449,959589996.324609279632568,959589996.324609279632568,1352.382665682109973,0.000000000000000,140381100.000000000000000,771146100.000000000000000,48048300.000000000000000,minor
448,KlushaCr,56,1509.000000000000000,1509.000000000000000,swe,StdTime,1989-04-01 12:00:00,162730.990158080763649,Middle Mainstem,56,265,29,KlushaCr,35,29,KlushaCr,61.735970000000002,-136.013659999999987,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402.329999923706055,457456.671924999973271,457456.671924999973271,357036.420167205214966,1490602138.528929710388184,1490602138.528929710388184,950.390117703182000,0.000000000000000,855170100.000000000000000,629766000.000000000000000,5723100.000000000000000,minor
449,BoswellR,57,776.000000000000000,776.000000000000000,swe,StdTime,1989-04-01 12:00:00,123225.249931335507426,Teslin,57,273,68,BoswellR,24,68,BoswellR,61.052010000000003,-134.215030000000013,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,161734.818570520059438,772223581.845551133155823,772223581.845551133155823,1350.762388243329951,0.000000000000000,210966300.000000000000000,413104500.000000000000000,148159800.000000000000000,minor
450,McIntyreCr,58,307.000000000000000,307.000000000000000,swe,StdTime,1989-04-01 12:00:00,88619.939964294448146,Upper Lakes and Mainstem,58,295,78,McIntyreCr,19,78,McIntyreCr,60.768430000000002,-135.089370000000002,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Upper Lakes and Mainstem,Eaux d'amont du Yukon,Takhini,Takhini,8298916147.529999732971191,537860.234718000050634,537860.234718000050634,114662.411176633861032,302974191.511241018772125,302974191.511241018772125,1232.334532219869971,0.000000000000000,196726500.000000000000000,81144000.000000000000000,25107300.000000000000000,minor
451,WolfCr,59,449.000000000000000,449.000000000000000,swe,StdTime,1989-04-01 12:00:00,129289.089965820254292,Upper Lakes and Mainstem,59,296,97,WolfCr,13,97,WolfCr,60.625010000000003,-134.913109999999989,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Upper Lakes and Mainstem,Eaux d'amont du Yukon,Takhini,Takhini,8298916147.529999732971191,537860.234718000050634,537860.234718000050634,136899.445018710976001,449078069.176528215408325,449078069.176528215408325,1110.099095558450017,219600.000000000000000,354123000.000000000000000,80120700.000000000000000,14580900.000000000000000,minor
452,IbexR,60,592.000000000000000,592.000000000000000,swe,StdTime,1989-04-01 12:00:00,167709.350097656046273,Upper Lakes and Mainstem,60,303,73,IbexR,20,73,IbexR,60.802300000000002,-135.729899999999986,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Upper Lakes and Mainstem,Eaux d'amont du Yukon,Takhini,Takhini,8298916147.529999732971191,537860.234718000050634,537860.234718000050634,190092.122596400877228,580222449.051307439804077,580222449.051307439804077,1323.603705795700080,0.000000000000000,256941000.000000000000000,197972100.000000000000000,125345700.000000000000000,minor
453,SSwiftR,61,4784.000000000000000,4784.000000000000000,swe,StdTime,1989-04-01 12:00:00,1537003.289962770417333,Teslin,61,305,88,SSwiftR,5,88,SSwiftR,59.737650000000002,-132.184419999999989,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,561558.324267590534873,4779034603.276534080505371,4779034603.276534080505371,1239.056015742479985,797400.000000000000000,2968637400.000000000000000,1263823200.000000000000000,545780700.000000000000000,minor
454,MorleyR,62,1963.000000000000000,1963.000000000000000,swe,StdTime,1989-04-01 12:00:00,575527.780281067709439,Teslin,62,307,84,MorleyR,9,84,MorleyR,60.094329999999999,-132.493889999999993,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,385177.155046104220673,1963626747.750963926315308,1963626747.750963926315308,1158.900922875990091,0.000000000000000,1463683500.000000000000000,376494300.000000000000000,123472800.000000000000000,minor
455,HayesR,63,379.000000000000000,379.000000000000000,swe,StdTime,1989-04-01 12:00:00,131770.849914550868561,Teslin,63,322,71,HayesR,3,71,HayesR,59.592599999999997,-132.182279999999992,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,136895.701240187278017,382475516.141211271286011,382475516.141211271286011,979.839165136071983,180092700.000000000000000,182195100.000000000000000,17550900.000000000000000,2651400.000000000000000,minor
456,HessR,64,14979.000000000000000,14979.000000000000000,swe,StdTime,1989-04-01 12:00:00,2342277.190177920274436,Stewart,64,46,7,HessR,84,7,HessR,63.552410000000002,-133.959020000000010,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,1062621.031964120687917,14240014012.025735855102539,14240014012.025735855102539,1239.312759264970055,0.000000000000000,5696100.000000000000000,13789558800.000000000000000,444723300.000000000000000,minor
457,KlondikeR,65,8562.000000000000000,8562.000000000000000,swe,StdTime,1989-04-01 12:00:00,1519853.149749761912972,Lower Mainstem,65,9,9,KlondikeR,94,9,KlondikeR,64.050330000000002,-139.436129999999991,5,44,18,09ED,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Lower Mainstem,Cours moyen du Yukon,Central Yukon - Tatonduk,Cours moyen du Yukon - Tatonduk,23044564367.099998474121094,962165.123398000025190,962165.123398000025190,594703.894443355617113,8062553322.476243972778320,8062553322.476243972778320,1013.776263813119954,256500.000000000000000,276734700.000000000000000,6802292700.000000000000000,983205900.000000000000000,major
458,MSYukonR,66,94962.000000000000000,94962.000000000000000,swe,StdTime,1989-04-01 12:00:00,23316772.708175655454397,Middle Mainstem,66,0,31,MSYukonR,66,31,MSYukonR,62.761839999999999,-137.306000000000012,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402.329999923706055,457456.671924999973271,457456.671924999973271,2161436.140892677474767,94018507015.812927246093750,94018507015.812927246093750,1123.666460453840045,6473776500.000000000000000,40227480000.000000000000000,38973458700.000000000000000,8343732600.000000000000000,major
459,BlindCr,67,589.000000000000000,589.000000000000000,swe,StdTime,1989-04-01 12:00:00,88587.069892883402645,Pelly,67,162,45,BlindCr,53,45,BlindCr,62.179980000000000,-133.220439999999996,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,169248.856825031485641,572098181.931858539581299,572098181.931858539581299,1226.610920793129935,213300.000000000000000,0.000000000000000,571707900.000000000000000,92700.000000000000000,major
460,LTeslinR,68,35505.000000000000000,35505.000000000000000,swe,StdTime,1989-04-01 12:00:00,9142395.209854129701853,Teslin,68,269,76,LTeslinR,31,76,LTeslinR,61.567909999999998,-134.895039999999995,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Takhini,Takhini,8298916147.529999732971191,537860.234718000050634,537860.234718000050634,1564781.833619125653058,35342435075.978332519531250,35342435075.978332519531250,1157.017670529000043,1741467600.000000000000000,21724977600.000000000000000,9571852800.000000000000000,2304119700.000000000000000,major
461,SMSYukonR,69,32026.000000000000000,32026.000000000000000,swe,StdTime,1989-04-01 12:00:00,10902364.448326108977199,Upper Lakes and Mainstem,69,215,91,SMSYukonR,32,91,SMSYukonR,61.571950000000001,-134.907559999999989,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Upper Lakes and Mainstem,Eaux d'amont du Yukon,Takhini,Takhini,8298916147.529999732971191,537860.234718000050634,537860.234718000050634,1203299.398582952097058,31930973263.916919708251953,31930973263.916919708251953,1141.669624958140048,4732308900.000000000000000,15568292700.000000000000000,6270642900.000000000000000,5359680000.000000000000000,minor
462,TakhiniR,70,8357.000000000000000,8357.000000000000000,swe,StdTime,1989-04-01 12:00:00,2556168.179786683991551,Upper Lakes and Mainstem,70,0,93,TakhiniR,22,93,TakhiniR,60.841439999999999,-135.183369999999996,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Upper Lakes and Mainstem,Eaux d'amont du Yukon,Takhini,Takhini,8298916147.529999732971191,537860.234718000050634,537860.234718000050634,537860.234717756859027,8298916147.525073051452637,8298916147.525073051452637,1242.764827780059932,219302100.000000000000000,3941457300.000000000000000,2121325200.000000000000000,2016823500.000000000000000,major
463,SixtyMileR,71,3630.000000000000000,3630.000000000000000,swe,StdTime,1989-04-01 12:00:00,488825.719787596899550,Lower Mainstem,71,1,18,SixtyMileR,87,18,SixtyMileR,63.563299999999998,-139.762110000000007,5,44,18,09ED,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Lower Mainstem,Cours moyen du Yukon,Central Yukon - Tatonduk,Cours moyen du Yukon - Tatonduk,23044564367.099998474121094,962165.123398000025190,962165.123398000025190,326692.660093462211080,3430539179.705083370208740,3430539179.705083370208740,862.552077452884987,0.000000000000000,113427000.000000000000000,3154103100.000000000000000,162992700.000000000000000,minor
464,RusselCr,72,522.000000000000000,522.000000000000000,swe,StdTime,1989-04-01 12:00:00,59135.560050964391849,Pelly,72,86,62,RusselCr,76,62,RusselCr,63.036239999999999,-133.390350000000012,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,146126.390510803990765,500915546.066150724887848,500915546.066150724887848,1208.337175359479943,0.000000000000000,2700.000000000000000,498383100.000000000000000,2511900.000000000000000,minor
465,HuskyDogCr,73,433.000000000000000,433.000000000000000,swe,StdTime,1989-04-01 12:00:00,59700.689987182653567,Pelly,73,87,49,HuskyDogCr,78,49,HuskyDogCr,63.093470000000003,-132.461489999999998,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,122114.048277347101248,413523990.082763791084290,413523990.082763791084290,1176.903973185640098,0.000000000000000,0.000000000000000,413282700.000000000000000,255600.000000000000000,minor
466,LittleKalzasR,74,448.000000000000000,448.000000000000000,swe,StdTime,1989-04-01 12:00:00,58627.910041809023824,Pelly,74,97,51,LittleKalzasR,72,51,LittleKalzasR,62.890290000000000,-135.470699999999994,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,123189.458480114364647,432697024.127686560153961,432697024.127686560153961,1070.867244903000028,0.000000000000000,1611900.000000000000000,403245900.000000000000000,27859500.000000000000000,minor
467,NeedlerockCr,75,1077.000000000000000,1077.000000000000000,swe,StdTime,1989-04-01 12:00:00,103713.290016174272751,Pelly,75,99,57,NeedlerockCr,68,57,NeedlerockCr,62.806060000000002,-136.212469999999996,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,303274.816586410917807,1035036296.184201478958130,1035036296.184201478958130,821.974461523856007,0.000000000000000,0.000000000000000,1035054000.000000000000000,900.000000000000000,minor
468,EarnR,76,1662.000000000000000,1662.000000000000000,swe,StdTime,1989-04-01 12:00:00,174711.789939880603924,Pelly,76,100,46,EarnR,64,46,EarnR,62.736480000000000,-134.697290000000010,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744230.500000000000000,1069626.275549999903888,1069626.275549999903888,319099.916714571765624,1600746437.338617563247681,1600746437.338617563247681,957.737183332125028,0.000000000000000,162000.000000000000000,1600372800.000000000000000,194400.000000000000000,minor
